section,key,label,events_count,successful_events_count,total_prompt_tokens,total_completion_tokens,total_tokens,total_cost_usd,period_key,period_start,period_end
totals,total,All generation,4,4,0,0,0,0.000000,,,
by_channel,02a407e6-6d9f-44f7-b9ea-d9fbf2be3d05,02a407e6-6d9f-44f7-b9ea-d9fbf2be3d05,4,4,0,0,0,0.000000,,,
by_operation,content_plan,content_plan,1,1,0,0,0,0.000000,,,
by_operation,draft,draft,1,1,0,0,0,0.000000,,,
by_operation,ideas,ideas,1,1,0,0,0,0.000000,,,
by_operation,rewrite_draft,rewrite_draft,1,1,0,0,0,0.000000,,,
by_model,openai:gpt-4.1-mini,openai:gpt-4.1-mini,4,4,0,0,0,0.000000,,,
by_period,2026-03,2026-03,4,4,,,0,0.000000,2026-03,2026-03-14 19:13:48.197546+00:00,2026-03-14 19:13:48.808627+00:00
