section,key,label,events_count,successful_events_count,total_prompt_tokens,total_completion_tokens,total_tokens,total_cost_usd,period_key,period_start,period_end
totals,total,All generation,3,3,0,0,0,0.000000,,,
by_channel,9f180023-aeea-4a79-ba7a-3c246b449d62,9f180023-aeea-4a79-ba7a-3c246b449d62,3,3,0,0,0,0.000000,,,
by_operation,content_plan,content_plan,1,1,0,0,0,0.000000,,,
by_operation,draft,draft,1,1,0,0,0,0.000000,,,
by_operation,ideas,ideas,1,1,0,0,0,0.000000,,,
by_model,openai:gpt-4.1-mini,openai:gpt-4.1-mini,3,3,0,0,0,0.000000,,,
by_period,2026-03,2026-03,3,3,,,0,0.000000,2026-03,2026-03-14 19:13:47.642229+00:00,2026-03-14 19:13:48.005917+00:00
