section,key,label,events_count,successful_events_count,total_prompt_tokens,total_completion_tokens,total_tokens,total_cost_usd,period_key,period_start,period_end
totals,total,All generation,4,4,0,0,0,0.000000,,,
by_channel,757a32f5-5e21-48fc-9520-77bd68289133,757a32f5-5e21-48fc-9520-77bd68289133,4,4,0,0,0,0.000000,,,
by_operation,content_plan,content_plan,1,1,0,0,0,0.000000,,,
by_operation,draft,draft,1,1,0,0,0,0.000000,,,
by_operation,ideas,ideas,1,1,0,0,0,0.000000,,,
by_operation,rewrite_draft,rewrite_draft,1,1,0,0,0,0.000000,,,
by_model,openai:gpt-4.1-mini,openai:gpt-4.1-mini,4,4,0,0,0,0.000000,,,
by_period,2026-03,2026-03,4,4,,,0,0.000000,2026-03,2026-03-14 19:14:09.837770+00:00,2026-03-14 19:14:10.450098+00:00
