section,key,label,events_count,successful_events_count,total_prompt_tokens,total_completion_tokens,total_tokens,total_cost_usd,period_key,period_start,period_end
totals,total,All generation,3,3,0,0,0,0.000000,,,
by_channel,fbe9664b-90e5-4fe2-b6aa-b8e26f4357ef,fbe9664b-90e5-4fe2-b6aa-b8e26f4357ef,3,3,0,0,0,0.000000,,,
by_operation,content_plan,content_plan,1,1,0,0,0,0.000000,,,
by_operation,draft,draft,1,1,0,0,0,0.000000,,,
by_operation,ideas,ideas,1,1,0,0,0,0.000000,,,
by_model,openai:gpt-4.1-mini,openai:gpt-4.1-mini,3,3,0,0,0,0.000000,,,
by_period,2026-03,2026-03,3,3,,,0,0.000000,2026-03,2026-03-14 19:14:09.253293+00:00,2026-03-14 19:14:09.652964+00:00
