group_by,key,label,events_count,successful_events_count,total_tokens,total_cost_usd
channel,fbe9664b-90e5-4fe2-b6aa-b8e26f4357ef,fbe9664b-90e5-4fe2-b6aa-b8e26f4357ef,3,3,0,0.000000
client,cd3ee21f-f3c9-401a-b5a2-2636a6cd4ef5,cd3ee21f-f3c9-401a-b5a2-2636a6cd4ef5,3,3,0,0.000000
model,openai:gpt-4.1-mini,openai:gpt-4.1-mini,3,3,0,0.000000
operation,content_plan,content_plan,1,1,0,0.000000
operation,draft,draft,1,1,0,0.000000
operation,ideas,ideas,1,1,0,0.000000
